Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Ethiopia,Africa,500774,435.594,30,0.026,0,7574,6.588,1,0.001,0
Réunion,Africa,494595,55242.753,0,0,0,921,102.869,0,0,0
Honduras,Americas,472485,4770.356,18,0.182,0,11111,112.18,0,0,0
Armenia,Europe,448980,15151.689,134,4.522,0,8746,295.151,1,0.034,0
Bosnia and Herzegovina,Europe,402709,12274.663,43,1.311,0,16332,497.803,1,0.03,0
Oman,Eastern Mediterranean,399449,7822.171,0,0,0,4628,90.627,0,0,0
North Macedonia,Europe,347965,16701.946,0,0,0,9671,464.198,0,0,0
Zambia,Africa,343803,1870.125,50,0.272,0,4058,22.074,0,0,0
Kenya,Africa,343005,637.896,13,0.024,0,5688,10.578,0,0,0
Albania,Europe,333897,11602.509,0,0,0,3604,125.235,0,0,0
Botswana,Africa,329841,14026.076,0,0,0,2796,118.896,0,0,0
Luxembourg,Europe,319959,51102.845,0,0,0,1232,196.771,0,0,0
Mauritius,Africa,298814,23495.952,0,0,0,1044,82.09,0,0,0
Montenegro,Europe,289292,46061.058,0,0,0,2808,447.09,0,0,0
Brunei Darussalam,Western Pacific,285740,65315.135,0,0,0,155,35.43,2,0.457,0
Kosovo[1],Europe,273796,15247.602,30,1.671,0,3205,178.485,0,0,0
Algeria,Africa,271644,619.47,27,0.062,0,6881,15.692,0,0,0
Nigeria,Africa,266675,129.366,0,0,0,3155,1.531,0,0,0
Zimbabwe,Africa,264613,1780.356,22,0.148,0,5684,38.243,0,0,0
Uzbekistan,Europe,252514,754.467,194,0.58,0,1637,4.891,0,0,0
Mozambique,Africa,233334,746.539,0,0,0,2242,7.173,0,0,0
Martinique,Americas,229674,61203.15,195,51.963,0,1097,292.327,2,0.533,0
Lao People's Democratic Republic,Western Pacific,218048,2996.993,11,0.151,0,671,9.223,0,0,0
Afghanistan,Eastern Mediterranean,213191,547.65,1200,3.083,0,7885,20.255,0,0,0
Iceland,Europe,209191,57448.906,0,0,0,260,71.402,0,0,0
Kyrgyzstan,Europe,206866,3170.753,17,0.261,0,2991,45.845,0,0,0
Guadeloupe,Americas,202364,50575.322,201,50.234,0,1015,253.671,3,0.75,0
El Salvador,Americas,201785,3110.987,0,0,0,4230,65.215,0,0,0
Trinidad and Tobago,Americas,191257,13666.212,250,17.864,0,4385,313.329,13,0.929,0
Maldives,South-East Asia,186042,34417.55,148,27.38,0,311,57.535,0,0,0
Ghana,Africa,171619,552.31,30,0.097,0,1462,4.705,0,0,0
Namibia,Africa,171222,6738.623,0,0,0,4090,160.966,0,0,0
Uganda,Africa,170539,372.836,0,0,0,3632,7.94,0,0,0
Jamaica,Americas,154687,5223.853,85,2.87,0,3532,119.277,3,0.101,0
Cambodia,Western Pacific,138726,829.752,0,0,0,3056,18.279,0,0,0
Rwanda,Africa,133194,1028.349,0,0,0,1468,11.334,0,0,0
Cameroon,Africa,124895,470.488,0,0,0,1970,7.421,0,0,0
Malta,Europe,118317,22993.641,103,20.017,0,834,162.079,1,0.194,0
Barbados,Americas,107332,37349.108,0,0,0,582,202.523,0,0,0
Angola,Africa,105353,320.551,0,0,0,1934,5.884,0,0,0
French Guiana,Americas,98041,32824.542,0,0,0,413,138.274,0,0,0
Democratic Republic of the Congo,Africa,95944,107.127,0,0,0,1464,1.635,0,0,0
Senegal,Africa,88989,531.47,0,0,0,1971,11.771,0,0,0
Malawi,Africa,88625,463.279,5,0.026,0,2686,14.041,0,0,0
Côte d’Ivoire,Africa,88316,334.806,8,0.03,0,834,3.162,0,0,0
Suriname,Americas,82495,14062.479,0,0,0,1404,239.332,0,0,0
New Caledonia,Western Pacific,80053,28039.776,0,0,0,314,109.983,0,0,0
French Polynesia,Western Pacific,78378,27901.662,0,0,0,649,231.036,0,0,0
Eswatini,Africa,74586,6428.919,66,5.689,0,1425,122.827,0,0,0
Guyana,Americas,73121,9296.397,2,0.254,0,1298,165.024,0,0,0
Belize,Americas,70782,17801.06,0,0,0,688,173.026,0,0,0
Fiji,Western Pacific,68918,7687.923,1,0.112,0,883,98.5,0,0,0
Madagascar,Africa,68177,246.206,72,0.26,0,1424,5.142,0,0,0
Jersey,Europe,66391,61589.484,0,0,0,161,149.356,0,0,0
Sudan,Eastern Mediterranean,63993,145.939,71,0.162,0,5046,11.508,12,0.027,0
Mauritania,Africa,63609,1368.036,27,0.581,0,997,21.442,0,0,0
Cabo Verde,Africa,63308,11386.597,27,4.856,0,413,74.282,0,0,0
Bhutan,South-East Asia,62654,8119.926,4,0.518,0,21,2.722,0,0,0
Syrian Arab Republic,Eastern Mediterranean,57423,328.119,0,0,0,3163,18.074,0,0,0
Burundi,Africa,53726,451.829,7,0.059,0,15,0.126,0,0,0
Guam,Western Pacific,51097,30275.218,63,37.328,0,415,245.889,1,0.593,0
Seychelles,Africa,50937,51793.141,0,0,0,172,174.891,0,0,0
Gabon,Africa,48981,2200.667,0,0,0,306,13.748,0,0,0
Andorra,Europe,47945,62052.676,6,7.765,0,159,205.785,0,0,0
Papua New Guinea,Western Pacific,46838,523.504,0,0,0,670,7.489,0,0,0
Curaçao,Americas,45798,27909.783,0,0,0,301,183.433,0,0,0
Aruba,Americas,44114,41318.397,0,0,0,287,268.812,0,0,0
United Republic of Tanzania,Africa,42973,71.94,0,0,0,846,1.416,0,0,0
Mayotte,Africa,42027,15404.945,19,6.964,0,187,68.545,0,0,0
Togo,Africa,39471,476.776,1,0.012,0,290,3.503,0,0,0
Guinea,Africa,38430,292.626,0,0,0,467,3.556,0,0,0
Isle of Man,Europe,38008,44698.466,0,0,0,116,136.419,0,0,0
Bahamas,Americas,38003,9663.975,512,130.199,0,844,214.625,11,2.797,0
Guernsey,Europe,35326,54796.178,0,0,0,67,103.928,0,0,0
Faroe Islands,Europe,34658,70926.021,0,0,0,28,57.301,0,0,0
Lesotho,Africa,34490,1609.99,0,0,0,706,32.956,0,0,0
Haiti,Americas,34214,300.056,12,0.105,0,860,7.542,0,0,0
Mali,Africa,33134,163.618,1,0.005,0,743,3.669,0,0,0
Cayman Islands,Americas,31472,47888.01,0,0,0,37,56.299,0,0,0
Saint Lucia,Americas,30052,16365.785,24,13.07,0,409,222.734,0,0,0
Benin,Africa,28014,231.078,0,0,0,163,1.345,0,0,0
Somalia,Eastern Mediterranean,27334,171.985,0,0,0,1361,8.563,0,0,0
Micronesia (Federated States of),Western Pacific,25929,22542.448,0,0,0,65,56.51,0,0,0
Congo,Africa,25188,456.463,3,0.054,0,389,7.05,0,0,0
United States Virgin Islands,Americas,24898,23842.949,12,11.492,0,130,124.491,0,0,0
Solomon Islands,Western Pacific,24575,3577.751,0,0,0,153,22.275,0,0,0
San Marino,Europe,23961,70602.275,56,165.007,0,123,362.426,0,0,0
Timor-Leste,South-East Asia,23426,1776.79,2,0.152,0,138,10.467,0,0,0
Burkina Faso,Africa,22056,105.515,0,0,0,396,1.894,0,0,0
Liechtenstein,Europe,21460,55384.933,0,0,0,87,224.534,0,0,0
Gibraltar,Europe,20550,60995.518,0,0,0,113,335.401,0,0,0
Grenada,Americas,19683,17492.424,0,0,0,238,211.512,0,0,0
Bermuda,Americas,18860,30285.999,0,0,0,165,264.962,0,0,0
South Sudan,Africa,18368,164.092,0,0,0,138,1.233,0,0,0
Tajikistan,Europe,17786,186.482,0,0,0,125,1.311,0,0,0
Equatorial Guinea,Africa,17130,1220.968,0,0,0,183,13.044,0,0,0
Tonga,Western Pacific,16814,15908.037,0,0,0,12,11.353,0,0,0
Samoa,Western Pacific,16737,8435.393,0,0,0,31,15.624,0,0,0
Monaco,Europe,16178,41224.136,0,0,0,67,170.727,0,0,0
Marshall Islands,Western Pacific,16081,27166.605,0,0,0,17,28.719,0,0,0
Dominica,Americas,15760,21891.625,0,0,0,74,102.791,0,0,0
Djibouti,Eastern Mediterranean,15690,1588.057,0,0,0,189,19.13,0,0,0
Nicaragua,Americas,15688,236.816,6,0.091,0,245,3.698,0,0,0
Central African Republic,Africa,15367,318.173,0,0,0,113,2.34,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,13799,23974.495,0,0,0,41,71.234,0,0,0
Gambia,Africa,12626,522.455,0,0,0,372,15.393,0,0,0
Saint Martin,Americas,12287,31783.026,7,18.107,0,46,118.989,0,0,0
Vanuatu,Western Pacific,12014,3911.508,0,0,0,14,4.558,0,0,0
Greenland,Europe,11971,21086.099,0,0,0,21,36.99,0,0,0
Yemen,Eastern Mediterranean,11945,40.049,0,0,0,2159,7.239,0,0,0
Sint Maarten,Americas,11030,25721.748,0,0,0,92,214.542,0,0,0
Eritrea,Africa,10189,287.304,0,0,0,103,2.904,0,0,0
Bonaire,Americas,9855,47119.292,0,0,0,33,157.781,0,0,0
Saint Vincent and the Grenadines,Americas,9602,8655.129,1,0.901,0,124,111.772,0,0,0
Niger,Africa,9513,39.299,0,0,0,315,1.301,0,0,0
Guinea-Bissau,Africa,9350,475.101,0,0,0,176,8.943,0,0,0
Antigua and Barbuda,Americas,9106,9298.573,0,0,0,146,149.088,0,0,0
Comoros,Africa,9105,1047.032,1,0.115,0,160,18.399,0,0,0
American Samoa,Western Pacific,8329,15089.588,0,0,0,34,61.598,0,0,0
Liberia,Africa,8090,159.955,0,0,0,294,5.813,0,0,0
Sierra Leone,Africa,7762,97.305,0,0,0,125,1.567,0,0,0
Chad,Africa,7696,46.853,0,0,0,194,1.181,0,0,0
British Virgin Islands,Americas,7305,24159.143,0,0,0,64,211.661,0,0,0
Cook Islands,Western Pacific,7055,40167.388,0,0,0,2,11.387,0,0,0
Saint Kitts and Nevis,Americas,6598,12404.121,0,0,0,46,86.479,0,0,0
Turks and Caicos Islands,Americas,6565,16955.938,0,0,0,38,98.146,0,0,0
Sao Tome and Principe,Africa,6542,2985.047,0,0,0,80,36.503,0,0,0
Palau,Western Pacific,5999,33158.302,2,11.055,0,9,49.746,0,0,0
Saint Barthélemy,Americas,5484,55477.997,6,60.698,0,5,50.582,0,0,0
Nauru,Western Pacific,5393,49778.475,0,0,0,1,9.23,0,0,0
Kiribati,Western Pacific,5014,4197.607,0,0,0,18,15.069,0,0,0
Anguilla,Americas,3904,26023.197,0,0,0,12,79.989,0,0,0
Wallis and Futuna,Western Pacific,3427,30473.057,0,0,0,7,62.244,0,0,0
Saint Pierre and Miquelon,Americas,3426,59119.931,0,0,0,2,34.513,0,0,0
Tuvalu,Western Pacific,2779,23566.825,0,0,0,0,0,0,0,0
"Saint Helena, Ascension and Tristan da Cunha",Africa,2166,35677.813,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas),Americas,1923,55211.025,0,0,0,0,0,0,0,0
Montserrat,Americas,1403,28065.613,0,0,0,8,160.032,0,0,0
Sint Eustatius,Americas,1217,38770.309,0,0,0,6,191.144,0,0,0
Saba,Americas,813,42058.976,0,0,0,2,103.466,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Niue,Western Pacific,747,46168.109,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,5,370.37,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,4,8000,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
